fellow,year,category,title,link
Konstantinos Kritos,2026,Compact Objects and Accretion,Unveiling the mystery of massive black hole seeds through gravitational and electromagnetic waves,https://drive.google.com/file/d/1sEElvNIvgUgDpVb8bMnPImzSaQmKBD8a
Jared Goldberg,2026,Stellar Physics,"Massive stars, Inside and Out: Bridging 1D and 3D models of Stars and Supernovae",https://drive.google.com/file/d/10nfSM8IAOzle-vHPzt0CWRWsnOnlcGdo
Nicholas Rui,2025,Stellar Physics,A seismic atlas of the stellar merger sky,https://drive.google.com/file/d/17VsxMDhpDdEFs1QKKjo-TA5g1VpvLSb2
Lindsey Kwok,2025,Stellar Physics,Determining the Astrophysical Origins of White-Dwarf Supernovae with JWST Infrared Spectroscopy,https://drive.google.com/file/d/1G6zKNxKBe550FU6R04_WQdQvOK7QkBr8
Kenzie Nimmo,2025,Compact Objects and Accretion,From Glimmering Jewels to Cosmic Ubiquity: Unraveling the Origins of FRBs,https://drive.google.com/file/d/1TJxt2Hf5P8wrvQaV-usf9jOvCrPPEy-Y
Jaren Ashcraft,2024,Exoplanets and Habitability,Optimizing The Vector Field For Next-Generation Astrophysics,https://drive.google.com/file/d/17cLV9D4Ei1blB-YvwPbYEmXToUvzMQUl
Andrew Saydjari,2024,The Milky Way and Resolved Stellar Populations,Inferring Kinematic and Chemical Maps of Galactic Dust,https://drive.google.com/file/d/1RyzZ5nH2HCjOkuSrZZHe1axwe2QdFjDn
Adam Smercina,2024,The Milky Way and Resolved Stellar Populations,A Portrait of the Triangulum: Advancing a New Frontier of Galaxy Evolution with Resolved Stars,https://drive.google.com/file/d/1kSwpYi9g6uLBIaj9ns0Z6C_r2KAAN2Kd
Sylvia Biscoveanu,2023,Gravitational Wave Astrophysics,From black holes to the Big Bang: astrophysics and cosmology with gravitational waves and their electromagnetic counterparts,https://drive.google.com/file/d/1KNcxKqXMmxrIUjLMbdBCTcd0bq5X95k4
Maggie Thompson,2023,Exoplanets and Habitability,To Explore Strange New Worlds: Connecting the Interiors and Atmospheres of Rocky Exoplanets,https://drive.google.com/file/d/1wfBQR3gzi7b6v7EccH1OgP7ojIAMVRDo
Justin Pierel,2023,Physics and Cosmology,Leveraging HST for a New Era of Precision NIR SN Ia Cosmology,https://drive.google.com/file/d/1J2EPCPlKGDGqQz0Gd4skq48bDjNzp_SQ
